Why do I worry about your dirty country place,0,,
Do I ever try going to nasty Canada place,0,,
What kind of cruel place this location is place,0,,
Am I even eligible to enter India place,1,,
Do I survive the crazy Japan place,1,,
Can I play game in this country place,1,,
I can trick you into buying my idea at London place,2,,
It is possible for me to cross Japan in this century place,2,,
I can able to drop you in this place place,2,,
I am joyous to be in this situation and place right now place,3,,
Does beautiful celebrations only exists in this country place,3,,
I am enjoying your companionship in china place,3,,
You are being very sad due to our quarrel place,4,,
Childhood in India is the most sad part in my entire life place,4,,
My parents in china will be sad when I do not succeed and I dislike it place,4,,
Do not ever try making drink milk as I will be angry food,5,,
Do I punch your pumpkin face today food,5,,
I do not care if someone beat you because of a fruit food,5,,
Do not come to me with your disgusting fruit face food,5,,
Is it possible for me to eat vegetables food,6,,
Will I able to achieve success in eating meat food,6,,
I can able to manage eating huge amounts of wine food,7,,
My gut can feel good when I eat good food,7,,
I can order food if you trust me food,7,,
I am happy to accompany you to a good food food,8,,
Is this the greatest happy food festival I am visiting food,8,,
I look happy if you please me with chicken food,8,,
I despise speaking without food food,9,,
The most sad part in a day is the time after having lunch food,9,,
I dislike people who are not kind towards homeless and not give food to them food,9,,
