Why do I worry about your dirty country,0,,
Do I ever try going to nasty Canada,0,,
What kind of cruel place this location is,0,,
Am I even eligible to enter India,1,,
Do I survive the crazy Japan,1,,
Can I play game in this country,1,,
I can trick you into buying my idea at London,2,,
It is possible for me to cross Japan in this century,2,,
I can able to drop you in this place,2,,
I am joyous to be in this situation and place right now,3,,
Does beautiful celebrations only exists in this country,3,,
I am enjoying your companionship in china,3,,
You are being very sad due to our quarrel,4,,
Childhood in India is the most sad part in my entire life,4,,
My parents in china will be sad when I do not succeed and I dislike it,4,,
Do not ever try making drink milk as I will be angry,5,,
Do I punch your pumpkin face today,5,,
I do not care if someone beat you because of a fruit,5,,
Do not come to me with your disgusting fruit face,5,,
Is it possible for me to eat vegetables,6,,
Will I able to achieve success in eating meat,6,,
I can able to manage eating huge amounts of wine,7,,
My gut can feel good when I eat good,7,,
I can order food if you trust me,7,,
I am happy to accompany you to a good food,8,,
Is this the greatest happy food festival I am visiting,8,,
I look happy if you please me with chicken,8,,
I despise speaking without food,9,,
The most sad part in a day is the time after having lunch,9,,
I dislike people who are not kind towards homeless and not give food to them,9,,
